moderator,team,percent_long_requests
150,retail,56.25
133,retail,50.0
149,wholesale,31.82423435419441
167,retail,27.798507462686565
175,wholesale,25.476190476190474
185,wholesale,24.0
163,wholesale,22.30769230769231
114,retail,20.0
146,wholesale,19.251925192519252
122,wholesale,19.165580182529336
153,wholesale,18.85441527446301
161,wholesale,18.784530386740332
144,wholesale,18.0327868852459
187,wholesale,17.93797150041911
181,wholesale,16.861538461538462
123,wholesale,16.804407713498623
141,retail,16.40953716690042
143,wholesale,16.312056737588655
125,wholesale,15.6195462478185
170,wholesale,12.98932384341637
148,retail,12.010796221322536
173,retail,11.092985318107667
112,wholesale,11.007571345369831
128,wholesale,9.70464135021097
178,retail,8.253968253968253
102,wholesale,8.251324753974263
103,wholesale,7.616146230007616
165,retail,7.306590257879657
164,retail,7.187499999999999
135,retail,7.001166861143523
180,wholesale,6.968124536693847
116,wholesale,6.896551724137931
109,retail,6.408706166868199
156,retail,6.149732620320856
172,retail,6.13107822410148
111,retail,5.799648506151142
186,retail,5.439642324888227
152,retail,5.2410901467505235
117,retail,5.0359712230215825
136,retail,3.748326639892905
121,retail,3.379224030037547
188,wholesale,3.0966364121729844
176,retail,1.4943960149439601
110,retail,0.0
126,wholesale,0.0
129,wholesale,0.0
134,retail,0.0
138,retail,0.0
171,wholesale,0.0
